src	tgt
miu bnam ntik nhu	con mèo uống ngọn núi nhỏ
ako bnam hlao-ma	con chó không tìm ngọn núi
hling bnam cha-ma	H'Linh không ăn ngọn núi
ybhok miu-tao prong hmang-ma	Y Bhôk không thấy những con mèo to
hnga dak poh om	H'Nga nấu năm dòng sông
yson mi-tao prong hmang	Y Sơn thấy những người mẹ to
yson brah hlao	Y Sơn tìm khu rừng
hina kata-tao tec	con cá bán những con gà
kon bok puon gu	đứa trẻ bắt bốn người thầy
rong rong liem tuk-ne	cái nhà đã mang cái nhà đẹp
hling dak liem ei-ne	H'Linh đã cho dòng sông đẹp
hling bok hlao-ne-ma	H'Linh đã không tìm người thầy
plei plei gu	bản làng bắt bản làng
brah mi mahe tuk	khu rừng mang người mẹ mới
yson miu gu	Y Sơn bắt con mèo
hnga bnam pei hlao-ne	H'Nga đã tìm ba ngọn núi
yson brah prong om	Y Sơn nấu khu rừng to
bnam miu pei cha-ne	ngọn núi đã ăn ba con mèo
bnam bok-tao om-ne	ngọn núi đã nấu những người thầy
ykrong kon dua tec	Y Krông bán một đứa trẻ
ybhok brah ntik om-ne-ma	Y Bhôk đã không nấu khu rừng nhỏ
kon krao bar gu-ne	đứa trẻ đã bắt hai con trâu
pang krao-tao cha-ne	cái nồi đã ăn những con trâu
ykrong krao ngui	Y Krông làm con trâu
hrin kata-tao hlao-ne	H'Rin đã tìm những con gà
dak bok hlao-ne	dòng sông đã tìm người thầy
brah kata-tao mahe tuk	khu rừng mang những con gà mới
hrin dak ntik ngui	H'Rin làm dòng sông nhỏ
hnga dak krah cha	H'Nga ăn dòng sông cũ
mi hina hmang-ma	người mẹ không thấy con cá
hling pang liem om	H'Linh nấu cái nồi đẹp
ybhok kata pei hmang	Y Bhôk thấy ba con gà
pang kon-tao ntik cha-ma	cái nồi không ăn những đứa trẻ nhỏ
kata pa gu	con gà bắt người cha
kata bok tec	con gà bán người thầy
pa bok ngui-ma	người cha không làm người thầy
rong kata nhu-ma	cái nhà không uống con gà
hling krao prong ngui-ne	H'Linh đã làm con trâu to
padi hina hlao	cây lúa tìm con cá
yson dak nhu-ma	Y Sơn không uống dòng sông
mi krao-tao ngui	người mẹ làm những con trâu
hnga dak nhu-ma	H'Nga không uống dòng sông
kata rong bar liem ngui	con gà làm hai cái nhà đẹp
mi krao bar tuk-ne	người mẹ đã mang hai con trâu
brah mi-tao hlao-ma	khu rừng không tìm những người mẹ
plei rong poh krah gu-ne	bản làng đã bắt năm cái nhà cũ
kon miu dua prong tuk-ne	đứa trẻ đã mang một con mèo to
brah brah hmang-ne	khu rừng đã thấy khu rừng
pa kon nhu-ma	người cha không uống đứa trẻ
rong dak-tao krah tuk-ne	cái nhà đã mang những dòng sông cũ
brah pa nhu-ma	khu rừng không uống người cha
dak pa liem ei-ne-ma	dòng sông đã không cho người cha đẹp
kata bok ntik nhu	con gà uống người thầy nhỏ
hina bok-tao gu-ne	con cá đã bắt những người thầy
ako miu liem gu	con chó bắt con mèo đẹp
pa plei-tao hmang	người cha thấy những bản làng
krao pang-tao ntik ngui-ne	con trâu đã làm những cái nồi nhỏ
ykrong plei dua hlao	Y Krông tìm một bản làng
dak krao pei om-ne-ma	dòng sông đã không nấu ba con trâu
hling bok tec	H'Linh bán người thầy
hling miu hlao-ma	H'Linh không tìm con mèo
hina brah tec	con cá bán khu rừng
ykrong pang-tao om	Y Krông nấu những cái nồi
bnam krao gu-ne	ngọn núi đã bắt con trâu
hnga dak hmang-ne	H'Nga đã thấy dòng sông
hling hina prong om	H'Linh nấu con cá to
plei kon-tao nhu-ne	bản làng đã uống những đứa trẻ
hnga mi-tao ntik cha	H'Nga ăn những người mẹ nhỏ
yson rong pei gu	Y Sơn bắt ba cái nhà
ybhok dak hmang-ma	Y Bhôk không thấy dòng sông
mi plei-tao mahe hlao-ma	người mẹ không tìm những bản làng mới
yson miu-tao prong nhu-ne-ma	Y Sơn đã không uống những con mèo to
brah hina ei	khu rừng cho con cá
pang pang-tao liem tec-ne	cái nồi đã bán những cái nồi đẹp
ykrong kon mahe hmang	Y Krông thấy đứa trẻ mới
kata dak puon ntik ngui-ne	con gà đã làm bốn dòng sông nhỏ
ykrong plei nhu-ma	Y Krông không uống bản làng
hrin rong mahe tuk	H'Rin mang cái nhà mới
padi hina pei nhu-ne	cây lúa đã uống ba con cá
dak bnam-tao ntik hmang-ne	dòng sông đã thấy những ngọn núi nhỏ
ykrong ako krah hmang-ne	Y Krông đã thấy con chó cũ
kata rong krah ei	con gà cho cái nhà cũ
mi krao pei om-ne	người mẹ đã nấu ba con trâu
bnam plei-tao tec	ngọn núi bán những bản làng
hling bok ntik tec-ne	H'Linh đã bán người thầy nhỏ
hrin kata-tao ntik ei	H'Rin cho những con gà nhỏ
kata dak gu-ne	con gà đã bắt dòng sông
mi dak gu	người mẹ bắt dòng sông
ybhok padi ntik tec	Y Bhôk bán cây lúa nhỏ
mi padi tec-ne-ma	người mẹ đã không bán cây lúa
brah plei-tao ngui	khu rừng làm những bản làng
rong brah ei	cái nhà cho khu rừng
pa plei liem ngui	người cha làm bản làng đẹp
dak miu prong tuk-ma	dòng sông không mang con mèo to
hling bok-tao liem hmang	H'Linh thấy những người thầy đẹp
pang dak poh ei-ne	cái nồi đã cho năm dòng sông
pang bnam ntik cha	cái nồi ăn ngọn núi nhỏ
mi kon dua mahe cha	người mẹ ăn một đứa trẻ mới
mi miu-tao ngui-ne	người mẹ đã làm những con mèo
hnga kon prong tec	H'Nga bán đứa trẻ to
ykrong kon puon hmang	Y Krông thấy bốn đứa trẻ
hnga miu poh ei-ne	H'Nga đã cho năm con mèo
dak mi bar hlao	dòng sông tìm hai người mẹ
pang kon pei om-ne	cái nồi đã nấu ba đứa trẻ
pang bok-tao liem ei	cái nồi cho những người thầy đẹp
ybhok pa mahe cha-ne-ma	Y Bhôk đã không ăn người cha mới
krao ako prong ngui	con trâu làm con chó to
hling rong prong cha-ne-ma	H'Linh đã không ăn cái nhà to
miu kata-tao gu-ma	con mèo không bắt những con gà
hling dak-tao krah nhu-ne-ma	H'Linh đã không uống những dòng sông cũ
hling padi bar cha-ne	H'Linh đã ăn hai cây lúa
brah pang-tao ngui-ne	khu rừng đã làm những cái nồi
dak bnam pei hlao	dòng sông tìm ba ngọn núi
kata krao puon liem tuk	con gà mang bốn con trâu đẹp
padi krao liem om-ne	cây lúa đã nấu con trâu đẹp
pa hina ngui	người cha làm con cá
bnam bnam liem ngui-ne-ma	ngọn núi đã không làm ngọn núi đẹp
pa plei gu-ne	người cha đã bắt bản làng
bok rong poh hlao	người thầy tìm năm cái nhà
krao bnam hlao-ma	con trâu không tìm ngọn núi
ybhok padi-tao om	Y Bhôk nấu những cây lúa
hina krao dua om-ne	con cá đã nấu một con trâu
padi pa poh prong tuk	cây lúa mang năm người cha to
pa krao pei tuk	người cha mang ba con trâu
ybhok ako tuk-ma	Y Bhôk không mang con chó
ybhok brah mahe cha-ne-ma	Y Bhôk đã không ăn khu rừng mới
bnam krao mahe ngui-ne	ngọn núi đã làm con trâu mới
krao krao poh gu-ne	con trâu đã bắt năm con trâu
plei bnam-tao gu	bản làng bắt những ngọn núi
hling miu-tao prong hlao-ne-ma	H'Linh đã không tìm những con mèo to
ybhok kata nhu-ne	Y Bhôk đã uống con gà
pang brah-tao ei-ne	cái nồi đã cho những khu rừng
hrin kata krah ei-ne	H'Rin đã cho con gà cũ
hnga rong dua ngui	H'Nga làm một cái nhà
krao kata-tao mahe om-ne-ma	con trâu đã không nấu những con gà mới
bnam bnam-tao hmang	ngọn núi thấy những ngọn núi
hnga hina puon ntik hmang	H'Nga thấy bốn con cá nhỏ
rong hina-tao krah nhu	cái nhà uống những con cá cũ
yson dak-tao cha-ne	Y Sơn đã ăn những dòng sông
rong pang dua om	cái nhà nấu một cái nồi
plei kon om-ne	bản làng đã nấu đứa trẻ
hnga pang hlao	H'Nga tìm cái nồi
kon ako prong om	đứa trẻ nấu con chó to
pang padi ntik gu	cái nồi bắt cây lúa nhỏ
miu pa puon hlao-ne-ma	con mèo đã không tìm bốn người cha
hrin miu hmang	H'Rin thấy con mèo
mi bok ei-ne	người mẹ đã cho người thầy
yson padi poh hmang-ne	Y Sơn đã thấy năm cây lúa
miu kon prong hlao	con mèo tìm đứa trẻ to
bnam padi ntik hmang	ngọn núi thấy cây lúa nhỏ
pang pa ntik cha	cái nồi ăn người cha nhỏ
hrin rong-tao prong om	H'Rin nấu những cái nhà to
bok krao poh tuk	người thầy mang năm con trâu
krao pa bar hmang	con trâu thấy hai người cha
ybhok bok-tao ntik gu	Y Bhôk bắt những người thầy nhỏ
plei kata ei-ne-ma	bản làng đã không cho con gà
dak rong ntik tec	dòng sông bán cái nhà nhỏ
miu plei prong hmang	con mèo thấy bản làng to
pang dak-tao nhu	cái nồi uống những dòng sông
dak kata cha	dòng sông ăn con gà
pang bnam om	cái nồi nấu ngọn núi
bok bnam poh prong tuk-ne	người thầy đã mang năm ngọn núi to
hnga hina ei	H'Nga cho con cá
kon kon-tao prong cha-ne	đứa trẻ đã ăn những đứa trẻ to
hnga dak bar ei	H'Nga cho hai dòng sông
pa rong ngui-ne-ma	người cha đã không làm cái nhà
pa pang-tao hmang-ne	người cha đã thấy những cái nồi
yson kata-tao liem ei	Y Sơn cho những con gà đẹp
hnga bok nhu-ma	H'Nga không uống người thầy
kon pa-tao nhu	đứa trẻ uống những người cha
mi brah ei-ne	người mẹ đã cho khu rừng
kata plei cha-ne	con gà đã ăn bản làng
hnga pa tec	H'Nga bán người cha
ykrong miu dua nhu	Y Krông uống một con mèo
hrin rong ei-ne	H'Rin đã cho cái nhà
hling pa ntik gu	H'Linh bắt người cha nhỏ
hnga pang ei-ne	H'Nga đã cho cái nồi
yson krao mahe ngui	Y Sơn làm con trâu mới
plei kon-tao nhu	bản làng uống những đứa trẻ
kata ako tec-ne	con gà đã bán con chó
rong kata liem hmang	cái nhà thấy con gà đẹp
bok brah krah om	người thầy nấu khu rừng cũ
padi padi ngui-ne	cây lúa đã làm cây lúa
brah brah puon krah om	khu rừng nấu bốn khu rừng cũ
kata rong-tao ei-ne	con gà đã cho những cái nhà
kon bok tuk	đứa trẻ mang người thầy
ykrong padi-tao krah ei	Y Krông cho những cây lúa cũ
padi krao-tao gu	cây lúa bắt những con trâu
rong bok tec-ma	cái nhà không bán người thầy
hling pang liem tec-ma	H'Linh không bán cái nồi đẹp
miu pang gu-ne	con mèo đã bắt cái nồi
hnga padi poh mahe tec-ne	H'Nga đã bán năm cây lúa mới
hnga ako hlao-ne	H'Nga đã tìm con chó
hnga brah liem gu-ne	H'Nga đã bắt khu rừng đẹp
miu plei puon hmang-ne	con mèo đã thấy bốn bản làng
miu pa cha-ne	con mèo đã ăn người cha
bnam hina liem tuk	ngọn núi mang con cá đẹp
padi bok ei-ma	cây lúa không cho người thầy
pang plei krah hlao	cái nồi tìm bản làng cũ
hina plei ntik nhu-ne	con cá đã uống bản làng nhỏ
rong hina puon om-ma	cái nhà không nấu bốn con cá
krao plei pei mahe hmang-ne	con trâu đã thấy ba bản làng mới
kata rong dua om-ne-ma	con gà đã không nấu một cái nhà
hnga ako pei ei-ne	H'Nga đã cho ba con chó
kon ako tuk	đứa trẻ mang con chó
hina kata-tao hlao-ne-ma	con cá đã không tìm những con gà
bok dak puon hlao	người thầy tìm bốn dòng sông
hnga brah cha-ne	H'Nga đã ăn khu rừng
bok kon dua ngui	người thầy làm một đứa trẻ
ykrong pa ngui-ne-ma	Y Krông đã không làm người cha
rong plei tuk-ne-ma	cái nhà đã không mang bản làng
padi rong hmang	cây lúa thấy cái nhà
krao plei bar ei-ne-ma	con trâu đã không cho hai bản làng
rong plei-tao mahe ngui	cái nhà làm những bản làng mới
dak ako krah om-ne-ma	dòng sông đã không nấu con chó cũ
pa pa tec-ne	người cha đã bán người cha
hrin plei liem nhu	H'Rin uống bản làng đẹp
yson bok om	Y Sơn nấu người thầy
krao miu nhu-ma	con trâu không uống con mèo
ykrong kon tec-ne	Y Krông đã bán đứa trẻ
hling plei ei-ne	H'Linh đã cho bản làng
padi miu pei ei	cây lúa cho ba con mèo
mi hina bar liem tec	người mẹ bán hai con cá đẹp
pa kon ei	người cha cho đứa trẻ
dak rong liem tuk	dòng sông mang cái nhà đẹp
miu kon-tao ei	con mèo cho những đứa trẻ
hina bok-tao ntik hlao	con cá tìm những người thầy nhỏ
hnga krao nhu	H'Nga uống con trâu
ako rong-tao hmang	con chó thấy những cái nhà
kon dak om-ma	đứa trẻ không nấu dòng sông
ykrong krao-tao tec-ne	Y Krông đã bán những con trâu
pa mi hlao-ne	người cha đã tìm người mẹ
brah mi poh mahe tec	khu rừng bán năm người mẹ mới
kata bok tuk-ne	con gà đã mang người thầy
bnam brah liem ei-ne	ngọn núi đã cho khu rừng đẹp
ybhok brah gu	Y Bhôk bắt khu rừng
dak rong-tao nhu	dòng sông uống những cái nhà
bok plei-tao om	người thầy nấu những bản làng
mi brah poh prong cha-ne	người mẹ đã ăn năm khu rừng to
dak kata-tao hmang-ne	dòng sông đã thấy những con gà
miu rong-tao tuk	con mèo mang những cái nhà
bok rong liem ei-ma	người thầy không cho cái nhà đẹp
kata pang hmang	con gà thấy cái nồi
dak padi ntik hlao-ne	dòng sông đã tìm cây lúa nhỏ
brah kata bar prong gu	khu rừng bắt hai con gà to
plei pang liem hmang	bản làng thấy cái nồi đẹp
pang kata dua gu	cái nồi bắt một con gà
rong rong-tao ntik ngui	cái nhà làm những cái nhà nhỏ
bnam plei tec-ne	ngọn núi đã bán bản làng
ybhok brah pei krah cha-ne	Y Bhôk đã ăn ba khu rừng cũ
pa kon prong nhu	người cha uống đứa trẻ to
hling rong hmang	H'Linh thấy cái nhà
ykrong krao hmang	Y Krông thấy con trâu
ybhok ako puon prong tec-ne	Y Bhôk đã bán bốn con chó to
bok kon ntik tuk-ne-ma	người thầy đã không mang đứa trẻ nhỏ
bok padi-tao ei-ne-ma	người thầy đã không cho những cây lúa
dak pa ngui-ne	dòng sông đã làm người cha
pa pang tuk-ne	người cha đã mang cái nồi
hrin brah-tao om-ne	H'Rin đã nấu những khu rừng
kata miu-tao ei	con gà cho những con mèo
miu krao krah hmang	con mèo thấy con trâu cũ
bnam krao hlao-ma	ngọn núi không tìm con trâu
yson mi poh nhu-ne	Y Sơn đã uống năm người mẹ
plei brah hlao	bản làng tìm khu rừng
rong brah dua hmang-ne-ma	cái nhà đã không thấy một khu rừng
mi rong tec	người mẹ bán cái nhà
krao brah-tao hlao-ma	con trâu không tìm những khu rừng
miu kon-tao gu-ne-ma	con mèo đã không bắt những đứa trẻ
miu krao-tao ntik ngui	con mèo làm những con trâu nhỏ
ybhok dak tec	Y Bhôk bán dòng sông
ykrong bok puon ei	Y Krông cho bốn người thầy
mi bok ntik tuk-ne	người mẹ đã mang người thầy nhỏ
ykrong bok puon krah nhu-ma	Y Krông không uống bốn người thầy cũ
kata plei tuk	con gà mang bản làng
krao pang mahe ngui-ne	con trâu đã làm cái nồi mới
hina padi puon om-ne	con cá đã nấu bốn cây lúa
kata ako puon tec-ma	con gà không bán bốn con chó
ykrong brah puon ntik hlao	Y Krông tìm bốn khu rừng nhỏ
ako ako ei	con chó cho con chó
bnam rong nhu	ngọn núi uống cái nhà
pa plei hmang-ne	người cha đã thấy bản làng
yson hina nhu-ne-ma	Y Sơn đã không uống con cá
padi kata cha-ne	cây lúa đã ăn con gà
mi pang hlao-ne	người mẹ đã tìm cái nồi
hina ako-tao ei	con cá cho những con chó
hina rong hlao-ne	con cá đã tìm cái nhà
miu krao ntik hlao-ma	con mèo không tìm con trâu nhỏ
ybhok krao mahe om	Y Bhôk nấu con trâu mới
ybhok ako pei tuk	Y Bhôk mang ba con chó
pang miu liem cha	cái nồi ăn con mèo đẹp
ykrong pa mahe gu	Y Krông bắt người cha mới
yson brah cha-ma	Y Sơn không ăn khu rừng
dak hina-tao mahe cha-ma	dòng sông không ăn những con cá mới
kon plei-tao krah nhu-ne	đứa trẻ đã uống những bản làng cũ
hrin plei poh ntik hlao-ne	H'Rin đã tìm năm bản làng nhỏ
kon dak-tao ntik tuk-ne	đứa trẻ đã mang những dòng sông nhỏ
ykrong ako bar tec-ma	Y Krông không bán hai con chó
hling hina-tao krah cha	H'Linh ăn những con cá cũ
kon pa krah hmang	đứa trẻ thấy người cha cũ
ykrong rong tec-ma	Y Krông không bán cái nhà
brah rong nhu	khu rừng uống cái nhà
ako krao prong om	con chó nấu con trâu to
bnam dak bar hlao-ne-ma	ngọn núi đã không tìm hai dòng sông
mi kon-tao prong cha	người mẹ ăn những đứa trẻ to
ybhok bok gu-ne	Y Bhôk đã bắt người thầy
bnam brah-tao hlao	ngọn núi tìm những khu rừng
krao bnam pei hlao	con trâu tìm ba ngọn núi
kon kata krah om	đứa trẻ nấu con gà cũ
miu pang cha	con mèo ăn cái nồi
hnga rong-tao ei-ne-ma	H'Nga đã không cho những cái nhà
hrin ako puon krah om-ne	H'Rin đã nấu bốn con chó cũ
ybhok rong liem tec-ne	Y Bhôk đã bán cái nhà đẹp
ykrong rong krah gu-ne	Y Krông đã bắt cái nhà cũ
plei pa-tao ntik cha	bản làng ăn những người cha nhỏ
kon ako ei-ne	đứa trẻ đã cho con chó
pa brah om-ma	người cha không nấu khu rừng
miu miu ngui	con mèo làm con mèo
bok rong-tao krah hmang-ne	người thầy đã thấy những cái nhà cũ
bok miu-tao mahe cha	người thầy ăn những con mèo mới
miu bok om	con mèo nấu người thầy
pa bnam krah hlao-ne	người cha đã tìm ngọn núi cũ
pang bnam dua liem om	cái nồi nấu một ngọn núi đẹp
